lang	etym	orth	phon	dense	dense_PER	sigmoid	sigmoid_PER	ST	ST_PER
bcs	krȍsno	krȍsno	[krôsno]	[krôːsna]	0.2222222222222222	[krôsna]	0.125	[krôsno]	0.0
bcs	tě̀mę	tjȅme	[tjême]	[tjême]	0.0	[tjême]	0.0	[tjâme]	0.14285714285714285
bcs	spě̀ti	dòspjeti	[dǒspjeti]	[spjêti]	0.3	[ppêti]	0.5	[spîjeti]	0.3
bcs	kydati	kȉdati	[kîdati]	[kǐːdati]	0.2222222222222222	[kǐːdati]	0.2222222222222222	[kǐːdati]	0.2222222222222222
bcs	rỳdlo	rȉlo	[rîlo]	[rîlo]	0.0	[rîlo]	0.0	[rîlo]	0.0
bcs	gȍlǫbь	gȍlūb	[ɡôluːb]	[ɡôlub]	0.125	[ɡôluːb]	0.0	[ɡôlub]	0.125
bcs	raditi	ráditi	[rǎːditi]	[râditi]	0.2222222222222222	[raditi]	0.2222222222222222	[râditi]	0.2222222222222222
bcs	dalèkъ	dàlek	[dǎlek]	[dǎːljek]	0.2222222222222222	[dâlek]	0.14285714285714285	[dalêk]	0.2857142857142857
bcs	ežь	jȇž	[jêːʒ]	[jeʒi]	0.5	[jeʒ]	0.3333333333333333	[jêːʒ]	0.0
bcs	glota	glȍta	[ɡlôta]	[ɡlôta]	0.0	[ɡlôta]	0.0	[ɡlôta]	0.0
bcs	korenь	kȍrijen	[kôrijen]	[kǒren]	0.3333333333333333	[kǒraːn]	0.4444444444444444	[kǒreːn]	0.4444444444444444
bcs	kysьlъ	kȉsao	[kîsao]	[kîsao]	0.0	[kîsao]	0.0	[kîsao]	0.0
bcs	golgolъ	glágolj	[ɡlǎːɡoʎ]	[ɡlǎɡol]	0.2222222222222222	[ɡlǎɡao]	0.3333333333333333	[ɡlǎːɡol]	0.1111111111111111
bcs	òlčьnъ	lȁčan	[lât͡ʃan]	[lǎːt͡ʃan]	0.2	[lât͡ʃan]	0.0	[lǎt͡ʃan]	0.1111111111111111
bcs	kǫpina	kopína	[kopǐːna]	[kûpina]	0.3333333333333333	[kǔːpina]	0.4444444444444444	[kupǐːna]	0.1111111111111111
bcs	mъždžiti	màžđiti	[mǎʑd͡ʑiti]	[mʒǐːʒditi]	0.45454545454545453	[mǔːʒiti]	0.45454545454545453	[mřmjêti]	0.5454545454545454
bcs	lysъ	lȋs	[lîːs]	[lîːs]	0.0	[lîːs]	0.0	[lîːs]	0.0
bcs	voskъ	vȍsak	[ʋôsak]	[ʋôːsk]	0.2857142857142857	[ʋôsk]	0.14285714285714285	[ʋôsaːk]	0.125
bcs	doba	dȍba	[dôba]	[dôba]	0.0	[dôba]	0.0	[dôba]	0.0
bcs	godьnъ	gȍdan	[ɡôdan]	[ɡǒdan]	0.14285714285714285	[ɡǒːdan]	0.25	[ɡôdan]	0.0
bcs	živòtъ	žìvot	[ʒǐʋot]	[ʒǐʋot]	0.0	[ʒǐːʋot]	0.125	[ʒǐːʋot]	0.125
bcs	sǫditi	súditi	[sǔːditi]	[sǔːditi]	0.0	[sǔditi]	0.1111111111111111	[sǔditi]	0.1111111111111111
bcs	medvà	mèdva	[mědʋa]	[mědʋa]	0.0	[mědʋa]	0.0	[mědʋa]	0.0
bcs	krasà	krása	[krǎːsa]	[krǎːsa]	0.0	[krǎːsa]	0.0	[krǎːsa]	0.0
