ajьce	upper_sorbian	jejko	[ˈjekɔ]		CORRECTED
akъ	upper_sorbian	jakny	[ˈjaknɨ]		CORRECTED
akъjь	upper_sorbian	jakny	[ˈjaknɨ]		CORRECTED
ȃje	upper_sorbian	jejo	[ˈjejɔ]		CORRECTED
bagno	upper_sorbian	bahno	[ˈbaɣnɔ]		CORRECTED
bàjati	upper_sorbian	bać	[ˈbat͡ʃ]		CORRECTED
bèrmę	upper_sorbian	brěmjo	[ˈbʀʲɪmʲɔ]		CORRECTED
bèrza	upper_sorbian	brěza	[ˈbʀʲɪza]		CORRECTED
bě̄dà	upper_sorbian	běda	[ˈbʲɪda]		CORRECTED
bȇrgъ	upper_sorbian	brjóh	[ˈbʀʲʊ]		CORRECTED
bìti	upper_sorbian	bić	[ˈbʲit͡ʃ]		CORRECTED
blekъ	upper_sorbian	blek	[ˈblɛk]		CORRECTED
bledъjь	upper_sorbian	blědy	[ˈblɪdɨ]		CORRECTED
bleskъjь	upper_sorbian	blěsk	[ˈblɪsk]		CORRECTED
blǭdìti	upper_sorbian	bɫudzić	[ˈbud͡zit͡ʃ]		CORRECTED
bl̨ьvàti	upper_sorbian	bleć	[ˈblet͡ʃ]		CORRECTED
blъxà	upper_sorbian	tcha	[tka]		CORRECTED
blьščati	upper_sorbian	bɫysćeć	[ˈbɨst͡ʃɛt͡ʃ]		CORRECTED
bojati sę	upper_sorbian	bojeć so	[ˈbɔjɛt͡ʃ sɔ]		CORRECTED
bolěti	upper_sorbian	boleć	[ˈbɔlɛt͡ʃ]		CORRECTED
bol̨e	upper_sorbian	bóle	[ˈbʊlɛ]		CORRECTED
bol̨eje	upper_sorbian	bóle	[ˈbʊlɛ]		CORRECTED
bordatъjь	upper_sorbian	brodaty	[ˈbʀɔdatɨ]		CORRECTED
bordà	upper_sorbian	broda	[ˈbʀɔda]		CORRECTED
borna	upper_sorbian	bróna	[ˈbʀʊna]		CORRECTED
borzdà	upper_sorbian	brózda	[ˈbʀʊzda]		CORRECTED
bòlto	upper_sorbian	bɫóto	[ˈbʊtɔ]		CORRECTED
bȏgъ	upper_sorbian	bóh	[ˈbʊ]		CORRECTED
bȏlь	upper_sorbian	ból	[ˈbʊl]		CORRECTED
bȏrnь	upper_sorbian	bróń	[ˈbʀʊjn]		CORRECTED
bȏrъ	upper_sorbian	bór	[ˈbʊɐ̯]		CORRECTED
bosъjь	upper_sorbian	bosy	[ˈbɔsɨ]		CORRECTED
bridъkъjь	upper_sorbian	britki	[ˈbʀʲitkʲi]		CORRECTED
brodìti	upper_sorbian	brodźić	[ˈbʀɔd͡ʒit͡ʃ]		CORRECTED
brȏdъ	upper_sorbian	bród	[ˈbʀʊt]		CORRECTED
brьna	upper_sorbian	borno	[ˈbɔɐ̯nɔ]		CORRECTED
būčàti	upper_sorbian	bučeć	[ˈbut͡ʃɛt͡ʃ]		CORRECTED
bьrati	upper_sorbian	brać	[ˈbrat͡ʃ]		CORRECTED
bьčelà	upper_sorbian	pčola	[ˈpt͡ʃɔla]		CORRECTED
cě̄dìti	upper_sorbian	cydźić	[ˈt͡sɨd͡ʒit͡ʃ]		CORRECTED
cě̄lìti	upper_sorbian	cylić	[ˈt͡sɨlit͡ʃ]		CORRECTED
cě̄và	upper_sorbian	cywa	[ˈt͡sɨwa]		CORRECTED
dertì	upper_sorbian	drěć	[ˈdʀʲɪt͡ʃ]		CORRECTED
dérnъ	upper_sorbian	drěn	[ˈdʀʲɪn]		CORRECTED
dē̌žà	upper_sorbian	dźěža	[ˈd͡ʒɪʒa]		CORRECTED
dě̀lo	upper_sorbian	dźěɫo	[ˈd͡ʒɪwɔ]		CORRECTED
dě̄rà	upper_sorbian	dźěra	[ˈd͡ʒɪʀa]		CORRECTED
dȇrvo	upper_sorbian	drjewo	[ˈdʀʲɛwɔ]		CORRECTED
dęglь	upper_sorbian	dźehel	[ˈd͡ʒɛhɛl]		CORRECTED
