àblonь	upper_sorbian	jaboɫń	ˈjabɔwnʲ
àbolnь	upper_sorbian	jaboɫń	ˈjabɔwnʲ
ȃje	upper_sorbian	jejo	ˈjɛjɔ
àsъtrě̄bъ	upper_sorbian	jatřob	ˈjat͡ʃɔb
àsъtrę̄bъ	upper_sorbian	jatřob	ˈjat͡ʃɔb
ȁsenъ	upper_sorbian	jaseń	ˈjasɛnʲ
ȁsenь	upper_sorbian	jaseń	ˈjasɛnʲ
àstrě̄bъ	upper_sorbian	jatřob	ˈjatɔba
àstrę̄bъ	upper_sorbian	jatřob	ˈjatɔba
ajьce	upper_sorbian	jejko	ˈjɛjkɔ
akъ	upper_sorbian	jakny	ˈjaknɨ
akъjь	upper_sorbian	jakny	ˈjaknɨ
bьčelà	upper_sorbian	pčola	ˈpt͡ʃɔla
bьrati	upper_sorbian	brać	brat͡ɕ
bàjati	upper_sorbian	bać	bat͡ɕ
bagno	upper_sorbian	bahno	ˈbaxnɔ
bě̄dà	upper_sorbian	běda	ˈbʲɪda
bȇrgъ	upper_sorbian	brjóh	brʲʊh
bèrmę	upper_sorbian	brěmjo	ˈbrʲɪmʲɔ
bèrza	upper_sorbian	brěza	ˈbrʲɪza
bìti	upper_sorbian	bić	bʲit͡ɕ
bl̨ьvàti	upper_sorbian	bleć	ˈblɛt͡ɕ
blьščati	upper_sorbian	bɫysćeć	ˈbwɨst͡ɕɛt͡ɕ
blъxà	upper_sorbian	tcha	t͡sa
blě̑dъ	upper_sorbian	blědy	ˈblɪdɨ
blě̑skъ	upper_sorbian	blěsk	blɪsk
blekъ	upper_sorbian	blek	ˈblɛk
blekota	upper_sorbian	blekot	ˈblɛkɔt
blekotъ	upper_sorbian	blekot	ˈblɛkɔt
bliscati	upper_sorbian	bɫyskać	ˈbwɨskatɕ
bliskati	upper_sorbian	bɫyskać	ˈbwɨskatɕ
blistati	upper_sorbian	bɫyskać	ˈbwɨskatɕ
blizъkъ	upper_sorbian	blizki	ˈbliskʲi
blizna	upper_sorbian	bɫuzna	ˈbwuzna
blizno	upper_sorbian	bɫuzna	ˈbwuzna
blǭdìti	upper_sorbian	bɫudzić	ˈbwudziɕt͡ɕ
bȏgъ	upper_sorbian	bóh	bʊh
bȏlь	upper_sorbian	ból	bʊl
bòlto	upper_sorbian	bɫóto	ˈbwʊtɔ
bȏrъ	upper_sorbian	bór	bʊr
bȏrnь	upper_sorbian	bróń	brʊnʲ
bȏsъ	upper_sorbian	bosy	ˈbɔsɨ
bojati sę	upper_sorbian	bojeć so	ˈbɔjɛt͡ɕ sɔ
bol̨e	upper_sorbian	bóle	ˈbʊlɛ
bol̨eje	upper_sorbian	bóle	ˈbʊlɛ
bolěti	upper_sorbian	boleć	ˈbɔlɛɕt
bordà	upper_sorbian	broda	ˈbrɔda
bordatъ	upper_sorbian	brodaty	ˈbrɔdatɨ
borna	upper_sorbian	bróna	ˈbrʊna
borzdà	upper_sorbian	brózda	ˈbrʊzda
brьna	upper_sorbian	borno	ˈbɔrnɔ
bràtъ	upper_sorbian	bratr	bratr
bràtrъ	upper_sorbian	bratr	bratr
bridъkъ	upper_sorbian	britki	ˈbrʲitkʲi
brȏdъ	upper_sorbian	bród	brʊt
brodìti	upper_sorbian	brodźić	ˈbrɔdʑit͡ɕ
būčàti	upper_sorbian	bučeć	ˈbut͡ʃɛt͡ɕ
cě̄dìti	upper_sorbian	cydźić	ˈt͡sɨdʑit͡ɕ
cě̄lìti	upper_sorbian	cylić	ˈt͡sɨlit͡ɕ
cě̄và	upper_sorbian	cywa	ˈt͡sɨwa
čь̀rnъ	upper_sorbian	čorny	ˈt͡ʃɔrnɨ
čь̑stь	upper_sorbian	česć	t͡ʃɛst͡ɕ
čьrvь	upper_sorbian	čerw	t͡ʃɛr
čьxati	upper_sorbian	čichać	ˈt͡ʃixaɕ
čakati	upper_sorbian	čakać	ˈtʃakat͡ɕ
čérdъ	upper_sorbian	črjóda	ˈt͡srʲʊda
čȇrvo	upper_sorbian	črjewo	ˈt͡srʲɛwɔ
čerdà	upper_sorbian	črjóda	ˈt͡srʲʊda
čerdìti	upper_sorbian	črjódźić	ˈt͡srʲʊdʑit͡ɕ
černь	upper_sorbian	črona	ˈt͡ʃrɔna
čerslò	upper_sorbian	črjósɫo	ˈtʃrʊswɔ
čixati	upper_sorbian	čichać	ˈt͡ʃixaɕ
dь̑nь	upper_sorbian	dźeń	dʑɛnʲ
dъždžь	upper_sorbian	dešć	dɛɕt͡ɕ
dě̀lo	upper_sorbian	dźěɫo	ˈdʑɪwɔ
dě̄rà	upper_sorbian	dźěra	ˈdʑɪra
dē̌žà	upper_sorbian	dźěža	ˈdʑɪʒa
dęglь	upper_sorbian	dźehel	ˈdʑɛhɛl
dérnъ	upper_sorbian	drěn	drʲɪn
dȇrvo	upper_sorbian	drjewo	ˈdrʲɛwɔ
dertì	upper_sorbian	drěć	drʲɪt͡ɕ
dikъ	upper_sorbian	dźiki	ˈdʑikʲi
divь	upper_sorbian	dźiwi	ˈdʑivʲi
dȏmъ	upper_sorbian	dom	dɔm
dòrga	upper_sorbian	dróha	ˈdrʊha
drabъ	upper_sorbian	draby	ˈdrabɨ
drobъ	upper_sorbian	drob	drɔp
drobà	upper_sorbian	drobina	ˈdrɔbʲina
drobìna	upper_sorbian	drobina	ˈdrɔbʲina
dvьrь	upper_sorbian	 dwěrja	ˈtvʲɪrʲa
